E(eV) dos(E) pdos(E)
-10.000 0.207E-04 0.207E-04
-9.999 0.212E-04 0.212E-04
-9.998 0.218E-04 0.217E-04
-9.997 0.223E-04 0.223E-04
-9.996 0.229E-04 0.228E-04
-9.995 0.234E-04 0.234E-04
-9.994 0.240E-04 0.240E-04
-9.993 0.246E-04 0.246E-04
-9.992 0.252E-04 0.252E-04
-9.991 0.258E-04 0.258E-04
-9.990 0.264E-04 0.264E-04
-9.989 0.271E-04 0.271E-04
-9.988 0.277E-04 0.277E-04
-9.987 0.284E-04 0.284E-04
-9.986 0.291E-04 0.291E-04
-9.985 0.298E-04 0.298E-04
-9.984 0.305E-04 0.305E-04
-9.983 0.313E-04 0.313E-04
-9.982 0.321E-04 0.320E-04
-9.981 0.328E-04 0.328E-04
-9.980 0.336E-04 0.336E-04
-9.979 0.344E-04 0.344E-04
-9.978 0.353E-04 0.352E-04
-9.977 0.361E-04 0.361E-04
-9.976 0.370E-04 0.370E-04
-9.975 0.379E-04 0.379E-04
-9.974 0.388E-04 0.388E-04
-9.973 0.397E-04 0.397E-04
-9.972 0.407E-04 0.407E-04
-9.971 0.417E-04 0.416E-04
-9.970 0.427E-04 0.426E-04
-9.969 0.437E-04 0.437E-04
-9.968 0.448E-04 0.447E-04
-9.967 0.458E-04 0.458E-04
-9.966 0.469E-04 0.469E-04
-9.965 0.480E-04 0.480E-04
-9.964 0.492E-04 0.492E-04
-9.963 0.504E-04 0.503E-04
-9.962 0.516E-04 0.515E-04
-9.961 0.528E-04 0.528E-04
-9.960 0.541E-04 0.540E-04
-9.959 0.553E-04 0.553E-04
-9.958 0.567E-04 0.566E-04
-9.957 0.580E-04 0.580E-04
-9.956 0.594E-04 0.593E-04
-9.955 0.608E-04 0.607E-04
-9.954 0.622E-04 0.622E-04
-9.953 0.637E-04 0.636E-04
-9.952 0.652E-04 0.651E-04
-9.951 0.667E-04 0.667E-04
-9.950 0.683E-04 0.683E-04
-9.949 0.699E-04 0.699E-04
-9.948 0.716E-04 0.715E-04
-9.947 0.733E-04 0.732E-04
-9.946 0.750E-04 0.749E-04
-9.945 0.767E-04 0.767E-04
-9.944 0.785E-04 0.785E-04
-9.943 0.804E-04 0.803E-04
-9.942 0.823E-04 0.822E-04
-9.941 0.842E-04 0.841E-04
-9.940 0.862E-04 0.861E-04
-9.939 0.882E-04 0.881E-04
-9.938 0.902E-04 0.901E-04
-9.937 0.923E-04 0.922E-04
-9.936 0.945E-04 0.944E-04
-9.935 0.967E-04 0.966E-04
