E(eV) dos(E)  pdos(E)
-10.000 0.626E+01 0.625E+01
-9.999 0.624E+01 0.624E+01
-9.998 0.623E+01 0.622E+01
-9.997 0.621E+01 0.621E+01
-9.996 0.620E+01 0.620E+01
-9.995 0.619E+01 0.618E+01
-9.994 0.617E+01 0.617E+01
-9.993 0.616E+01 0.615E+01
-9.992 0.614E+01 0.614E+01
-9.991 0.613E+01 0.613E+01
-9.990 0.612E+01 0.611E+01
-9.989 0.610E+01 0.610E+01
-9.988 0.609E+01 0.609E+01
-9.987 0.608E+01 0.607E+01
-9.986 0.606E+01 0.606E+01
-9.985 0.605E+01 0.605E+01
-9.984 0.604E+01 0.604E+01
-9.983 0.603E+01 0.602E+01
-9.982 0.602E+01 0.601E+01
-9.981 0.600E+01 0.600E+01
-9.980 0.599E+01 0.599E+01
-9.979 0.598E+01 0.598E+01
-9.978 0.597E+01 0.597E+01
-9.977 0.596E+01 0.595E+01
-9.976 0.595E+01 0.594E+01
-9.975 0.594E+01 0.593E+01
-9.974 0.593E+01 0.592E+01
-9.973 0.592E+01 0.591E+01
-9.972 0.591E+01 0.590E+01
-9.971 0.590E+01 0.589E+01
-9.970 0.589E+01 0.588E+01
-9.969 0.588E+01 0.587E+01
-9.968 0.587E+01 0.586E+01
-9.967 0.586E+01 0.586E+01
-9.966 0.585E+01 0.585E+01
-9.965 0.584E+01 0.584E+01
-9.964 0.584E+01 0.583E+01
-9.963 0.583E+01 0.582E+01
-9.962 0.582E+01 0.581E+01
-9.961 0.581E+01 0.581E+01
-9.960 0.580E+01 0.580E+01
-9.959 0.580E+01 0.579E+01
-9.958 0.579E+01 0.578E+01
-9.957 0.578E+01 0.578E+01
-9.956 0.577E+01 0.577E+01
-9.955 0.577E+01 0.576E+01
-9.954 0.576E+01 0.576E+01
-9.953 0.575E+01 0.575E+01
-9.952 0.575E+01 0.574E+01
-9.951 0.574E+01 0.574E+01
-9.950 0.574E+01 0.573E+01
-9.949 0.573E+01 0.573E+01
-9.948 0.573E+01 0.572E+01
-9.947 0.572E+01 0.572E+01
-9.946 0.572E+01 0.571E+01
-9.945 0.571E+01 0.571E+01
-9.944 0.571E+01 0.570E+01
-9.943 0.570E+01 0.570E+01
-9.942 0.570E+01 0.569E+01
-9.941 0.569E+01 0.569E+01
-9.940 0.569E+01 0.568E+01
-9.939 0.569E+01 0.568E+01
-9.938 0.568E+01 0.568E+01
