E(eV) dos(E) pdos(E)
-10.000 0.587E+00 0.587E+00
-9.999 0.579E+00 0.579E+00
-9.998 0.572E+00 0.571E+00
-9.997 0.564E+00 0.564E+00
-9.996 0.557E+00 0.556E+00
-9.995 0.549E+00 0.549E+00
-9.994 0.542E+00 0.542E+00
-9.993 0.535E+00 0.534E+00
-9.992 0.527E+00 0.527E+00
-9.991 0.520E+00 0.520E+00
-9.990 0.513E+00 0.513E+00
-9.989 0.506E+00 0.506E+00
-9.988 0.500E+00 0.499E+00
-9.987 0.493E+00 0.493E+00
-9.986 0.486E+00 0.486E+00
-9.985 0.480E+00 0.479E+00
-9.984 0.473E+00 0.473E+00
-9.983 0.467E+00 0.466E+00
-9.982 0.460E+00 0.460E+00
-9.981 0.454E+00 0.454E+00
-9.980 0.448E+00 0.448E+00
-9.979 0.442E+00 0.441E+00
-9.978 0.436E+00 0.435E+00
-9.977 0.430E+00 0.429E+00
-9.976 0.424E+00 0.423E+00
-9.975 0.418E+00 0.418E+00
-9.974 0.412E+00 0.412E+00
-9.973 0.406E+00 0.406E+00
-9.972 0.401E+00 0.400E+00
-9.971 0.395E+00 0.395E+00
-9.970 0.390E+00 0.389E+00
-9.969 0.384E+00 0.384E+00
-9.968 0.379E+00 0.379E+00
-9.967 0.373E+00 0.373E+00
-9.966 0.368E+00 0.368E+00
-9.965 0.363E+00 0.363E+00
-9.964 0.358E+00 0.358E+00
-9.963 0.353E+00 0.353E+00
-9.962 0.348E+00 0.348E+00
-9.961 0.343E+00 0.343E+00
-9.960 0.338E+00 0.338E+00
-9.959 0.333E+00 0.333E+00
-9.958 0.329E+00 0.328E+00
-9.957 0.324E+00 0.324E+00
-9.956 0.319E+00 0.319E+00
-9.955 0.315E+00 0.315E+00
-9.954 0.310E+00 0.310E+00
-9.953 0.306E+00 0.306E+00
-9.952 0.301E+00 0.301E+00
-9.951 0.297E+00 0.297E+00
-9.950 0.293E+00 0.293E+00
-9.949 0.288E+00 0.288E+00
-9.948 0.284E+00 0.284E+00
-9.947 0.280E+00 0.280E+00
-9.946 0.276E+00 0.276E+00
-9.945 0.272E+00 0.272E+00
-9.944 0.268E+00 0.268E+00
-9.943 0.264E+00 0.264E+00
-9.942 0.260E+00 0.260E+00
-9.941 0.257E+00 0.256E+00
-9.940 0.253E+00 0.253E+00
-9.939 0.249E+00 0.249E+00
-9.938 0.245E+00 0.245E+00
-9.937 0.242E+00 0.242E+00
-9.936 0.238E+00 0.238E+00
-9.935 0.235E+00 0.235E+00
-9.934 0.231E+00 0.231E+00
-9.933 0.228E+00 0.228E+00
-9.932 0.224E+00 0.224E+00
-9.931 0.221E+00 0.221E+00
-9.930 0.218E+00 0.218E+00
-9.929 0.214E+00 0.214E+00
-9.928 0.211E+00 0.211E+00
-9.927 0.208E+00 0.208E+00
-9.926 0.205E+00 0.205E+00
-9.925 0.202E+00 0.202E+00
-9.924 0.199E+00 0.199E+00
-9.923 0.196E+00 0.196E+00
-9.922 0.193E+00 0.193E+00
-9.921 0.190E+00 0.190E+00
-9.920 0.187E+00 0.187E+00
-9.919 0.184E+00 0.184E+00
-9.918 0.181E+00 0.181E+00
-9.917 0.179E+00 0.179E+00
