k E
0.0000 -18.1317
0.0042 -18.1317
0.0084 -18.1317
0.0126 -18.1316
0.0168 -18.1316
0.0210 -18.1316
0.0252 -18.1315
0.0294 -18.1315
0.0336 -18.1314
0.0378 -18.1314
0.0420 -18.1313
0.0462 -18.1312
0.0504 -18.1312
0.0546 -18.1311
0.0588 -18.1311
0.0630 -18.1310
0.0672 -18.1310
0.0714 -18.1309
0.0756 -18.1309
0.0799 -18.1309
0.0841 -18.1309
0.0883 -18.1309
0.0925 -18.1309
0.0967 -18.1309
0.1009 -18.1308
0.1051 -18.1308
0.1093 -18.1307
0.1135 -18.1307
0.1177 -18.1306
0.1219 -18.1306
0.1261 -18.1305
0.1303 -18.1305
0.1345 -18.1304
0.1387 -18.1304
0.1429 -18.1303
0.1471 -18.1303
0.1513 -18.1303
0.1555 -18.1302
0.1597 -18.1302
0.1639 -18.1302
0.1681 -18.1302
0.1740 -18.1302
0.1800 -18.1302
0.1859 -18.1303
0.1919 -18.1303
0.1978 -18.1304
0.2038 -18.1305
0.2097 -18.1306
0.2157 -18.1307
0.2216 -18.1308
0.2275 -18.1309
0.2335 -18.1310
0.2394 -18.1311
0.2454 -18.1312
0.2513 -18.1314
0.2573 -18.1314
0.2632 -18.1315
0.2691 -18.1316
0.2751 -18.1316
0.2810 -18.1317
0.2870 -18.1317
0.2943 -18.1317
0.3015 -18.1316
0.3088 -18.1316
0.3161 -18.1314
0.3234 -18.1313
0.3306 -18.1312
0.3379 -18.1311
0.3452 -18.1309
0.3525 -18.1307
0.3598 -18.1305
0.3670 -18.1304
0.3743 -18.1302
0.3816 -18.1301
0.3889 -18.1300
0.3962 -18.1298
0.4034 -18.1297
0.4107 -18.1297
0.4180 -18.1296
0.4253 -18.1296
0.4326 -18.1295
0.4385 -18.1296
0.4444 -18.1296
0.4504 -18.1296
0.4563 -18.1297
0.4623 -18.1297
0.4682 -18.1298
0.4742 -18.1299
0.4801 -18.1300
0.4860 -18.1301
0.4920 -18.1302
0.4979 -18.1303
0.5039 -18.1304
0.5098 -18.1305
0.5158 -18.1306
0.5217 -18.1307
0.5277 -18.1308
0.5336 -18.1308
0.5395 -18.1309
0.5455 -18.1309
0.5514 -18.1309

0.0000 -13.5082
