E(eV) dos(E) pdos(E)
-10.000 0.366E-02 0.366E-02
-9.999 0.359E-02 0.359E-02
-9.998 0.352E-02 0.352E-02
-9.997 0.346E-02 0.345E-02
-9.996 0.339E-02 0.339E-02
-9.995 0.332E-02 0.332E-02
-9.994 0.326E-02 0.326E-02
-9.993 0.320E-02 0.320E-02
-9.992 0.314E-02 0.314E-02
-9.991 0.308E-02 0.308E-02
-9.990 0.302E-02 0.302E-02
-9.989 0.296E-02 0.296E-02
-9.988 0.290E-02 0.290E-02
-9.987 0.285E-02 0.285E-02
-9.986 0.279E-02 0.279E-02
-9.985 0.274E-02 0.274E-02
-9.984 0.269E-02 0.268E-02
-9.983 0.263E-02 0.263E-02
-9.982 0.258E-02 0.258E-02
-9.981 0.253E-02 0.253E-02
-9.980 0.248E-02 0.248E-02
-9.979 0.243E-02 0.243E-02
-9.978 0.239E-02 0.239E-02
-9.977 0.234E-02 0.234E-02
-9.976 0.229E-02 0.229E-02
-9.975 0.225E-02 0.225E-02
-9.974 0.221E-02 0.220E-02
-9.973 0.216E-02 0.216E-02
-9.972 0.212E-02 0.212E-02
-9.971 0.208E-02 0.208E-02
-9.970 0.204E-02 0.204E-02
-9.969 0.200E-02 0.200E-02
-9.968 0.196E-02 0.196E-02
-9.967 0.192E-02 0.192E-02
-9.966 0.188E-02 0.188E-02
-9.965 0.184E-02 0.184E-02
-9.964 0.181E-02 0.181E-02
-9.963 0.177E-02 0.177E-02
-9.962 0.174E-02 0.173E-02
-9.961 0.170E-02 0.170E-02
-9.960 0.167E-02 0.167E-02
-9.959 0.163E-02 0.163E-02
-9.958 0.160E-02 0.160E-02
-9.957 0.157E-02 0.157E-02
-9.956 0.154E-02 0.154E-02
-9.955 0.151E-02 0.151E-02
-9.954 0.148E-02 0.148E-02
-9.953 0.145E-02 0.145E-02
-9.952 0.142E-02 0.142E-02
-9.951 0.139E-02 0.139E-02
-9.950 0.136E-02 0.136E-02
-9.949 0.133E-02 0.133E-02
-9.948 0.131E-02 0.131E-02
-9.947 0.128E-02 0.128E-02
-9.946 0.125E-02 0.125E-02
-9.945 0.123E-02 0.123E-02
