E(eV) dos(E)  pdos(E)
-10.000 0.268E-10 0.268E-10
-9.999 0.278E-10 0.277E-10
-9.998 0.287E-10 0.287E-10
-9.997 0.298E-10 0.297E-10
-9.996 0.308E-10 0.308E-10
-9.995 0.319E-10 0.319E-10
-9.994 0.331E-10 0.330E-10
-9.993 0.342E-10 0.342E-10
-9.992 0.354E-10 0.354E-10
-9.991 0.367E-10 0.367E-10
-9.990 0.380E-10 0.380E-10
-9.989 0.393E-10 0.393E-10
-9.988 0.407E-10 0.407E-10
-9.987 0.422E-10 0.421E-10
-9.986 0.437E-10 0.436E-10
-9.985 0.452E-10 0.451E-10
-9.984 0.484E-10 0.483E-10
-9.983 0.501E-10 0.500E-10
-9.982 0.518E-10 0.518E-10
-9.981 0.537E-10 0.536E-10
-9.980 0.556E-10 0.555E-10
-9.979 0.575E-10 0.574E-10
-9.978 0.595E-10 0.595E-10
-9.977 0.616E-10 0.615E-10
-9.976 0.638E-10 0.637E-10
-9.975 0.660E-10 0.659E-10
-9.974 0.683E-10 0.682E-10
-9.973 0.707E-10 0.706E-10
-9.972 0.732E-10 0.731E-10
-9.971 0.758E-10 0.757E-10
-9.970 0.784E-10 0.783E-10
-9.969 0.811E-10 0.810E-10
-9.968 0.844E-10 0.843E-10
-9.967 0.873E-10 0.872E-10
-9.966 0.904E-10 0.902E-10
-9.965 0.935E-10 0.934E-10
-9.964 0.968E-10 0.966E-10
-9.963 0.100E-09 0.100E-09
-9.962 0.104E-09 0.103E-09
-9.961 0.107E-09 0.107E-09
-9.960 0.111E-09 0.111E-09
-9.959 0.118E-09 0.118E-09
-9.958 0.122E-09 0.122E-09
-9.957 0.126E-09 0.126E-09
-9.956 0.131E-09 0.130E-09
-9.955 0.135E-09 0.135E-09
-9.954 0.140E-09 0.140E-09
-9.953 0.145E-09 0.145E-09
-9.952 0.150E-09 0.149E-09
-9.951 0.155E-09 0.155E-09
-9.950 0.160E-09 0.160E-09
-9.949 0.166E-09 0.165E-09
-9.948 0.171E-09 0.171E-09
-9.947 0.177E-09 0.177E-09
-9.946 0.183E-09 0.183E-09
