E(eV) dos(E) pdos(E)
-10.000 0.157E-04 0.157E-04
-9.999 0.154E-04 0.153E-04
-9.998 0.150E-04 0.150E-04
-9.997 0.146E-04 0.146E-04
-9.996 0.143E-04 0.142E-04
-9.995 0.139E-04 0.139E-04
-9.994 0.136E-04 0.135E-04
-9.993 0.132E-04 0.132E-04
-9.992 0.129E-04 0.129E-04
-9.991 0.126E-04 0.126E-04
-9.990 0.123E-04 0.123E-04
-9.989 0.120E-04 0.120E-04
-9.988 0.117E-04 0.117E-04
-9.987 0.114E-04 0.114E-04
-9.986 0.111E-04 0.111E-04
-9.985 0.108E-04 0.108E-04
-9.984 0.106E-04 0.106E-04
-9.983 0.103E-04 0.103E-04
-9.982 0.101E-04 0.100E-04
-9.981 0.981E-05 0.979E-05
-9.980 0.957E-05 0.955E-05
-9.979 0.933E-05 0.931E-05
-9.978 0.910E-05 0.908E-05
-9.977 0.887E-05 0.886E-05
-9.976 0.865E-05 0.863E-05
-9.975 0.844E-05 0.842E-05
-9.974 0.823E-05 0.821E-05
-9.973 0.802E-05 0.800E-05
-9.972 0.782E-05 0.780E-05
-9.971 0.762E-05 0.761E-05
-9.970 0.743E-05 0.742E-05
-9.969 0.725E-05 0.723E-05
-9.968 0.707E-05 0.705E-05
-9.967 0.689E-05 0.687E-05
-9.966 0.671E-05 0.670E-05
-9.965 0.654E-05 0.653E-05
-9.964 0.638E-05 0.637E-05
-9.963 0.622E-05 0.621E-05
-9.962 0.606E-05 0.605E-05
-9.961 0.591E-05 0.590E-05
-9.960 0.576E-05 0.575E-05
-9.959 0.561E-05 0.560E-05
-9.958 0.547E-05 0.546E-05
-9.957 0.533E-05 0.532E-05
-9.956 0.520E-05 0.518E-05
-9.955 0.506E-05 0.505E-05
-9.954 0.493E-05 0.492E-05
-9.953 0.481E-05 0.480E-05
-9.952 0.469E-05 0.468E-05
-9.951 0.457E-05 0.456E-05
-9.950 0.445E-05 0.444E-05
-9.949 0.434E-05 0.433E-05
-9.948 0.422E-05 0.421E-05
-9.947 0.412E-05 0.411E-05
-9.946 0.401E-05 0.400E-05
-9.945 0.391E-05 0.390E-05
-9.944 0.381E-05 0.380E-05
-9.943 0.371E-05 0.370E-05
-9.942 0.361E-05 0.360E-05
-9.941 0.352E-05 0.351E-05
-9.940 0.343E-05 0.342E-05
-9.939 0.334E-05 0.333E-05
-9.938 0.325E-05 0.325E-05
-9.937 0.317E-05 0.316E-05
-9.936 0.309E-05 0.308E-05
-9.935 0.301E-05 0.300E-05
-9.934 0.293E-05 0.292E-05
-9.933 0.285E-05 0.285E-05
-9.932 0.278E-05 0.277E-05
-9.931 0.271E-05 0.270E-05
-9.930 0.263E-05 0.263E-05
-9.929 0.257E-05 0.256E-05
-9.928 0.250E-05 0.249E-05
-9.927 0.243E-05 0.243E-05
-9.926 0.237E-05 0.236E-05
-9.925 0.231E-05 0.230E-05
-9.924 0.225E-05 0.224E-05
-9.923 0.219E-05 0.218E-05
-9.922 0.213E-05 0.213E-05
-9.921 0.207E-05 0.207E-05
-9.920 0.202E-05 0.202E-05
-9.919 0.197E-05 0.196E-05
-9.918 0.191E-05 0.191E-05
-9.917 0.186E-05 0.186E-05
-9.916 0.181E-05 0.181E-05
