E(eV) dos(E) pdos(E)
-10.000 0.000E+00 0.000E+00
-9.999 0.000E+00 0.000E+00
-9.998 0.000E+00 0.000E+00
-9.997 0.000E+00 0.000E+00
-9.996 0.000E+00 0.000E+00
-9.995 0.000E+00 0.000E+00
-9.994 0.000E+00 0.000E+00
-9.993 0.000E+00 0.000E+00
-9.992 0.000E+00 0.000E+00
-9.991 0.000E+00 0.000E+00
-9.990 0.000E+00 0.000E+00
-9.989 0.000E+00 0.000E+00
-9.988 0.000E+00 0.000E+00
-9.987 0.000E+00 0.000E+00
-9.986 0.000E+00 0.000E+00
-9.985 0.000E+00 0.000E+00
-9.984 0.000E+00 0.000E+00
-9.983 0.000E+00 0.000E+00
-9.982 0.000E+00 0.000E+00
-9.981 0.000E+00 0.000E+00
-9.980 0.000E+00 0.000E+00
-9.979 0.000E+00 0.000E+00
-9.978 0.000E+00 0.000E+00
-9.977 0.000E+00 0.000E+00
-9.976 0.000E+00 0.000E+00
-9.975 0.000E+00 0.000E+00
-9.974 0.000E+00 0.000E+00
-9.973 0.000E+00 0.000E+00
-9.972 0.000E+00 0.000E+00
-9.971 0.000E+00 0.000E+00
-9.970 0.000E+00 0.000E+00
-9.969 0.000E+00 0.000E+00
-9.968 0.000E+00 0.000E+00
-9.967 0.000E+00 0.000E+00
-9.966 0.000E+00 0.000E+00
-9.965 0.000E+00 0.000E+00
-9.964 0.000E+00 0.000E+00
-9.963 0.000E+00 0.000E+00
-9.962 0.000E+00 0.000E+00
-9.961 0.000E+00 0.000E+00
-9.960 0.000E+00 0.000E+00
-9.959 0.000E+00 0.000E+00
-9.958 0.000E+00 0.000E+00
-9.957 0.000E+00 0.000E+00
-9.956 0.000E+00 0.000E+00
-9.955 0.000E+00 0.000E+00
-9.954 0.000E+00 0.000E+00
-9.953 0.000E+00 0.000E+00
-9.952 0.000E+00 0.000E+00
-9.951 0.000E+00 0.000E+00
-9.950 0.000E+00 0.000E+00
-9.949 0.000E+00 0.000E+00
-9.948 0.000E+00 0.000E+00
-9.947 0.000E+00 0.000E+00
-9.946 0.000E+00 0.000E+00
-9.945 0.000E+00 0.000E+00
-9.944 0.000E+00 0.000E+00
-9.943 0.000E+00 0.000E+00
-9.942 0.000E+00 0.000E+00
-9.941 0.000E+00 0.000E+00
-9.940 0.000E+00 0.000E+00
-9.939 0.000E+00 0.000E+00
-9.938 0.000E+00 0.000E+00
-9.937 0.000E+00 0.000E+00
-9.936 0.000E+00 0.000E+00
-9.935 0.000E+00 0.000E+00
-9.934 0.000E+00 0.000E+00
-9.933 0.000E+00 0.000E+00
-9.932 0.000E+00 0.000E+00
-9.931 0.000E+00 0.000E+00
-9.930 0.000E+00 0.000E+00
-9.929 0.000E+00 0.000E+00
-9.928 0.000E+00 0.000E+00
-9.927 0.000E+00 0.000E+00
-9.926 0.000E+00 0.000E+00
-9.925 0.000E+00 0.000E+00
-9.924 0.000E+00 0.000E+00
-9.923 0.000E+00 0.000E+00
-9.922 0.000E+00 0.000E+00
-9.921 0.000E+00 0.000E+00
-9.920 0.000E+00 0.000E+00
-9.919 0.000E+00 0.000E+00
-9.918 0.000E+00 0.000E+00
-9.917 0.000E+00 0.000E+00
-9.916 0.000E+00 0.000E+00
-9.915 0.000E+00 0.000E+00
-9.914 0.000E+00 0.000E+00
-9.913 0.000E+00 0.000E+00
-9.912 0.000E+00 0.000E+00
-9.911 0.000E+00 0.000E+00
-9.910 0.000E+00 0.000E+00
-9.909 0.000E+00 0.000E+00
-9.908 0.000E+00 0.000E+00
-9.907 0.000E+00 0.000E+00
-9.906 0.000E+00 0.000E+00
-9.905 0.000E+00 0.000E+00
-9.904 0.000E+00 0.000E+00
-9.903 0.000E+00 0.000E+00
-9.902 0.000E+00 0.000E+00
-9.901 0.000E+00 0.000E+00
-9.900 0.000E+00 0.000E+00
-9.899 0.000E+00 0.000E+00
-9.898 0.000E+00 0.000E+00
-9.897 0.000E+00 0.000E+00
-9.896 0.000E+00 0.000E+00
-9.895 0.000E+00 0.000E+00
-9.894 0.000E+00 0.000E+00
-9.893 0.000E+00 0.000E+00
-9.892 0.000E+00 0.000E+00
-9.891 0.000E+00 0.000E+00
-9.890 0.000E+00 0.000E+00
-9.889 0.000E+00 0.000E+00
