E(eV) dos(E) pdos(E)
-10.000 0.336E-02 0.336E-02
-9.999 0.330E-02 0.330E-02
-9.998 0.324E-02 0.323E-02
-9.997 0.317E-02 0.317E-02
-9.996 0.311E-02 0.311E-02
-9.995 0.305E-02 0.305E-02
-9.994 0.299E-02 0.299E-02
-9.993 0.294E-02 0.294E-02
-9.992 0.288E-02 0.288E-02
-9.991 0.282E-02 0.282E-02
-9.990 0.277E-02 0.277E-02
-9.989 0.272E-02 0.272E-02
-9.988 0.266E-02 0.266E-02
-9.987 0.261E-02 0.261E-02
-9.986 0.256E-02 0.256E-02
-9.985 0.251E-02 0.251E-02
-9.984 0.246E-02 0.246E-02
-9.983 0.241E-02 0.241E-02
-9.982 0.237E-02 0.237E-02
-9.981 0.232E-02 0.232E-02
-9.980 0.228E-02 0.227E-02
-9.979 0.223E-02 0.223E-02
-9.978 0.219E-02 0.219E-02
-9.977 0.214E-02 0.214E-02
-9.976 0.210E-02 0.210E-02
-9.975 0.206E-02 0.206E-02
-9.974 0.202E-02 0.202E-02
-9.973 0.198E-02 0.198E-02
-9.972 0.194E-02 0.194E-02
-9.971 0.190E-02 0.190E-02
-9.970 0.187E-02 0.186E-02
-9.969 0.183E-02 0.183E-02
-9.968 0.179E-02 0.179E-02
-9.967 0.176E-02 0.176E-02
-9.966 0.172E-02 0.172E-02
-9.965 0.169E-02 0.169E-02
-9.964 0.165E-02 0.165E-02
-9.963 0.162E-02 0.162E-02
-9.962 0.159E-02 0.159E-02
-9.961 0.156E-02 0.156E-02
-9.960 0.152E-02 0.152E-02
-9.959 0.149E-02 0.149E-02
-9.958 0.146E-02 0.146E-02
-9.957 0.143E-02 0.143E-02
-9.956 0.141E-02 0.140E-02
-9.955 0.138E-02 0.138E-02
-9.954 0.135E-02 0.135E-02
-9.953 0.132E-02 0.132E-02
-9.952 0.130E-02 0.129E-02
-9.951 0.127E-02 0.127E-02
-9.950 0.124E-02 0.124E-02
-9.949 0.122E-02 0.122E-02
-9.948 0.119E-02 0.119E-02
-9.947 0.117E-02 0.117E-02
-9.946 0.114E-02 0.114E-02
-9.945 0.112E-02 0.112E-02
-9.944 0.110E-02 0.110E-02
-9.943 0.108E-02 0.108E-02
-9.942 0.105E-02 0.105E-02
-9.941 0.103E-02 0.103E-02
-9.940 0.101E-02 0.101E-02
-9.939 0.990E-03 0.990E-03
-9.938 0.970E-03 0.969E-03
-9.937 0.950E-03 0.949E-03
-9.936 0.930E-03 0.930E-03
-9.935 0.911E-03 0.910E-03
-9.934 0.892E-03 0.892E-03
-9.933 0.873E-03 0.873E-03
-9.932 0.855E-03 0.855E-03
-9.931 0.838E-03 0.837E-03
-9.930 0.820E-03 0.820E-03
-9.929 0.803E-03 0.803E-03
-9.928 0.786E-03 0.786E-03
-9.927 0.770E-03 0.769E-03
-9.926 0.754E-03 0.753E-03
-9.925 0.738E-03 0.738E-03
-9.924 0.722E-03 0.722E-03
-9.923 0.707E-03 0.707E-03
-9.922 0.692E-03 0.692E-03
-9.921 0.678E-03 0.678E-03
-9.920 0.664E-03 0.663E-03
-9.919 0.650E-03 0.649E-03
-9.918 0.636E-03 0.636E-03
-9.917 0.622E-03 0.622E-03
-9.916 0.609E-03 0.609E-03
-9.915 0.596E-03 0.596E-03
-9.914 0.584E-03 0.583E-03
-9.913 0.571E-03 0.571E-03
-9.912 0.559E-03 0.559E-03
-9.911 0.547E-03 0.547E-03
-9.910 0.535E-03 0.535E-03
-9.909 0.524E-03 0.524E-03
-9.908 0.513E-03 0.513E-03
-9.907 0.502E-03 0.502E-03
-9.906 0.491E-03 0.491E-03
